Unnamed: 0,Document,Summary,Dataset
240,"Lực lượng N kiểm lâm N phát hiện V lán V trái N trong rừng N nhốt V nhiều A động vật N quý hiếm V . Lực lượng N kiểm lâm N Trạm Sa Mách ( thuộc Hạt N kiểm lâm V Vườn Quốc gia N Cát Tiên ) hôm N 23/9 V bàn giao V hai thợ săn N Nguyễn Văn Hai ( 49 tuổi N ) và Đoàn Văn Long ( 31 tuổi N ) cho cơ quan chức năng N tỉnh N Đồng Nai điều tra V về hành vi N Săn bắt N trái phép A động vật N hoang dã A . Trước N đó hai ngày N , khi N tuần tra V rừng N quốc gia N Cát Tiên ( Đồng Nai ) , lực lượng N kiểm lâm V trạm N Sa Mách phát hiện V một lán trại N do hai người đàn ông N này dựng V trái phép A giữa rừng N . Tê tê N Java được phát hiện V còn sống V . Họ A phát hiện V trong lán N nhốt V nhiều A động vật N quý hiếm N vừa được V săn bắt V gồm V : 2 cá thể N tê tê N Java ( con N 8 kg và con N 2 kg ) , 2 con cheo cheo N ( mỗi con N nặng A một kg ) , một cá thể N kỳ đà N 2 kg và một con khỉ N nước N 3,5 kg . Ngoài ra , còn có V 112 N dây N bẫy N cùng nhiều A vật dụng N săn bắt V . Hoàng N Trường N ","Nhiều con tê tê Java , kỳ đà , cheo cheo ... được kiểm lâm phát hiện trong lán trại giữa rừng của hai người đàn ông .",vietnews
241,"Đây là V thành quả N của nhóm N nghiên cứu V HiTech Mechatronics Lab , ĐH Bách khoa N , ĐH Quốc gia N TP. HCM . Không cố định V thiết kế V , giường N dài A 2,1 m , rộng A 1 m , gồm V nhiều A module N thực hiện V các chức năng N nâng V / hạ V toàn thân N , dốc N đầu N , nghiêng V trái A phải V , nâng V / hạ V lưng N , co V / duỗi V chân N . Mặt N giường N được V chia V thành V hai nửa N theo V chiều N dọc A để giảm thiểu V lở loét V khi N nằm V một chỗ N ... Thiết kế V tháo V lắp V module N cho phép V người N dùng V có V nhiều A lựa chọn N tùy V theo V nhu cầu N , tránh V lãng phí V các chức năng N người N dùng V không cần V , tiết kiệm V chi phí N . Nhà N sản xuất V có thể cung cấp V nhiều A mẫu N giường N mà không tốn V thời gian N thiết kế V mới A . Để có V kinh nghiệm N thực hiện V đề tài N , nhóm N kỹ sư N trẻ A dành V một năm N làm việc V tại xưởng N của doanh nghiệp N . Anh N Tống Nhựt Phương , thành viên N nhóm N nghiên cứu V , chia sẻ V : "" Từ thiết kế V đến gia công V , chế tạo V thực tế N không phải A lúc nào cũng chuẩn A hoàn hảo A . Vì vậy quá trình N thiết kế V , gia công V và tái thiết kế V thường xuyên A lặp V đi V lặp lại V để đảm bảo V an toàn A , chính xác A . Thiết kế V module N giúp V giảm V chi phí sản xuất V xuống V tầm N 20 triệu đồng , linh hoạt N cho người N dùng V và nhà sản xuất N "" . Thực hiện V trong 12 tháng N , đề tài N do PGS.TS Nguyễn Tấn Tiến chủ nhiệm N dưới sự N đặt hàng V từ doanh nghiệp N , được V ngân sách V khoa học N TP tài trợ V . Thiết kế V được V Cục N Sở hữu V trí tuệ V công nhận V giải pháp N hữu ích A . ","Với cấu trúc dạng module , giường y tế đa năng hỗ trợ vận động , trị liệu , vệ sinh , giảm loét cho người già , người bệnh .",vietnews
242,"Đa số các bệnh nhân N của khoa N cũng đã được V về V nhà N nên bệnh viện N chưa biết V được những bệnh nhân N về V nhà N có V thêm V bệnh nhân N nào bị V nhiễm V nữa hay không . Bệnh nhân N đông A nên lan V nhanhTrước N đó , sáng N 1-6 , một bệnh nhân N phẫu thuật V nội soi N cắt V tử cung V được dời V phẫu thuật V vì bệnh nhân N sốt V . Ngay lập tức , Bệnh viện N Từ Dũ tiến hành V phân N nhóm N , cách ly V các bệnh nhân N sốt V , hướng dẫn V , khai V phòng ngừa V cho bệnh nhân N và thân nhân N khoa N nội soi N . Đồng thời Bệnh viện N Từ Dũ đã báo cáo V Sở N Y tế N và Trung tâm N Y tế N dự phòng V , tiến hành V hội chẩn V chuyên môn N với Bệnh viện N Bệnh N nhiệt đới N TP. Kết quả N hội chẩn V với Bệnh viện N Bệnh N nhiệt đới N không loại trừ V bệnh nhân N nhiễm V cúm N và lây lan V trong khoa N . Ngay N trong đêm N , Bệnh viện N Từ Dũ phối hợp V cùng A Bệnh viện N Bệnh N nhiệt đới N triển khai V xét nghiệm V PCR cúm V cho 16 bệnh nhân N và 2 nhân viên N y tế N của khoa N . Bệnh viện N Bệnh N nhiệt đới N đã khẩn trương V cho thực hiện V xét nghiệm V tất cả các mẫu N bệnh phẩm V trong đêm N . Chưa từng có V ổ N dịch N lớn A như vậy trong bệnh N việnBác sĩ N Lê Hồng Nga , trưởng N khoa N kiểm soát V bệnh N truyền nhiễm V Trung tâm N Y tế N dự phòng V TP. HCM , cho V biết V từ trước N đến nay chưa từng ghi nhận N một ổ N dịch N nhiễm V cúm A N / H 1 N1 N có V số N ca N mắc V lớn A như vậy từ một bệnh viện N . Bác sĩ N Hồng Nga cho V rằng do trong khoa N nội soi N có V số N bệnh nhân N nằm V điều trị V đông N , phòng N bệnh kín N , có V cả những bệnh nhân N nằm V ở hành lang N nên dễ A làm V bệnh N lây lan V . Những V bệnh nhân N được V mổ V xong ( thường sẽ đăng ký V các phòng N dịch vụ N nằm V điều trị V chứ không về V lại V khoa N ) thường không ở V lại V khoa N nhưng vì sợ V những người này có thể đã bị V nhiễm bệnh V mà đi V tới V khu N hậu sản N thì sẽ lây V bệnh N cho những bà mẹ N đang mang V thai N , nên mới phải V ra V hành lang N nằm V , chứ bình thường A không có V bệnh nhân N nằm V ở hành lang N . Bác sĩ N Hồng Nga cho V biết V hiện N Trung tâm N Y tế N dự phòng V , Bệnh viện N Từ Dũ đã nỗ lực V để hạn chế V thấp A nhất sự N lây lan V . Khoa V nội soi N nằm V xa A khu N hậu phẫu N của bệnh viện N nhưng đến giờ N vẫn chưa thể trả lời V được ổ V dịch N này có V tiếp tục V lây V sang V những khoa N khác A hay không . nó có V khả năng N gây V diễn tiến V nặng A . ","Đến chiều 3-6 , Bệnh viện Từ Dũ ( TP. HCM ) cho biết đã có thêm 5 nhân viên y tế của bệnh viện bị nhiễm cúm A / H 1 N1 , nâng tổng số ca nhiễm tại đây lên 28 ca . Trong 28 ca này , có 8 nhân viên của khoa nội soi và 20 bệnh nhân .",vietnews
243,"Người phụ nữ N họ Xiao được V điều trị V tại bệnh viện N sau N khi N uống V loại N thuốc N do lang băm V kê N để chữa V đau lưng N . Ảnh V : Guangdong Public ChannelMột phụ nữ N họ Xiao tuần N trước N quay V lại V phòng khám V đông y N ở thị trấn N Thiệu Quan , tỉnh N Quảng Đông và phàn nàn V với thầy lang V rằng bà cảm thấy V buồn nôn N sau N khi N uống V loại N thuốc bột N mà ông kê V để chữa V bệnh N đau lưng V . Để chứng minh V rằng bài thuốc N dân gian N của mình không có V vấn đề N gì , thầy lang N họ Cui đã uống V một muỗng N thuốc N trước mặt N nữ N bệnh nhân N . Tuy nhiên A , không lâu A sau N đó , ông xuất hiện V các triệu chứng N ngộ độc V và phải V khẩn trương V nhập viện N . Dù V được V các bác sĩ N cấp cứu V , ông vẫn không qua V khỏi V và được V tuyên bố tử vong V . Người phụ nữ N cũng nhanh chóng A nhập viện V sau N khi N có V dấu hiệu N ngộ độc V và suy V nội tạng N . Qua V nhiều A ngày N điều trị V , tình trạng N sức khỏe A của bà đã ổn định A . Xiao A kể V rằng bà tìm V đến thầy lang N trong làng N vì bị V đau lưng V nghiêm trọng A . "" Thầy lang N đã mát A - xa A cho tôi , sau N đó pha V một loại N bột N không rõ A là gì với nước N và cho tôi uống V "" , bà kể V . "" Ban đầu N tôi cũng nghi ngờ V nhưng ông ấy khẳng định V đây là V một bài thuốc N dân gian N và có V tác dụng N chữa V đau lưng N "" . Phòng khám N của thầy lang N họ Cui ở một ngôi làng N thuộc V thị trấn N Thiệu Quan , tỉnh N Quảng Đông , Trung Quốc . Thầy lang N thu V của bà Xiao 30 nhân dân tệ N tiền N khám V và chữa V bệnh N . Tuy nhiên , chỉ nửa tiếng sau N , bà bị V mờ A mắt N rồi buồn nôn V , chân tay N bủn rủn V . Quá lo lắng V , chồng N bà đã ngay lập tức đưa V vợ N quay V lại V phòng khám V để chất vấn V thầy lang V . Ông N kiên quyết V rằng loại N thuốc N của mình không có V vấn đề N gì và uống V một muỗng N thuốc N trước mặt N hai người N để chứng minh V nhưng sau N đó tử vong V . Bác sĩ N He Min , khoa N Thận học N , bệnh viện N Bắc Quảng Đông , cho V hay V loại N bột N mà bà Xiao uống V có V chứa V thành phần N từ lá ngón N , loại N cây leo N cực độc A có V nguồn gốc N ở Đông Nam Á và Trung Quốc . Các thầy lang N ở nhiều A vùng N nông thôn N của Trung Quốc trước N đây thường dùng V cây N này với liều lượng N rất nhỏ A để chữa V bệnh N , nhưng bà He khuyến cáo V mọi người N "" tuyệt đối A không nên V dùng V "" . ",Thầy lang ở đông nam Trung Quốc tử vong sau khi uống bài thuốc dân gian do ông tự chế để chứng minh tác dụng của nó với một nữ bệnh nhân .,vietnews
244,"Đầu N tháng N 3 , những khu N rừng N keo N tràm N bạt ngàn A ở vùng N đồi núi N tỉnh N Thừa Thiên Huế đơm V hoa N vàng N ươm A , cũng là V lúc N những người nuôi V ong mật N ở các tỉnh N Tây Nguyên và miền N Đông Nam Bộ đổ V về Huế dựng V lán trại N , đặt V các hộp N ong V để đánh V mật N . Tại V khu vực N rừng N keo N tràm N giáp ranh N xã N Lộc Bổn , Xuân Lộc ( huyện N Phú Lộc ) với xã N Phú Sơn ( thị Xã N Hương Thủy ) , hàng trăm lán trại N nuôi V ong N đơn sơ A đã được V dựng V lên V . Gặp V thời tiết N thuận lợi A , người N nuôi V ong N sẽ đánh V được mật V tốt A . "" Cứ nơi N nào thời tiết V tốt A , cây cối N ra V hoa N thuận lợi A cho đàn ong N hút mật N thì tôi lại thuê V xe N di chuyển V hàng trăm hộp N ong V với hàng triệu con ong mật N đến đó "" , anh cho V biết V . Một năm N anh Lý phải V di chuyển V đàn ong N đi V 4-5 V lần N , từ vụ N mùa N cà phê N ở Tây Nguyên cho đến mùa N vải thiều N ở Bắc Giang , mùa N hoa N keo N tràm N ở Huế . . . "" Với 200 hộp N ong V , mỗi lần N di chuyển V tốn V khoảng N 100 triệu đồng chi phí N , nhưng đổi V lại ong N đánh V được nhiều A mật N hơn A . Ra V Huế mấy hôm N , tôi đánh V được mười mấy can N mật ong V , đang chờ V công ty N đến V thu mua V ” , anh Lý chia sẻ V . Cũng mang V 500 đàn ong N từ Đồng Nai ra V Huế dựng V lán trại N trong rừng N keo N tràm N ở xã N Phú Sơn , anh Hồ Viết Vũ cho V hay V : "" Con ong mật N phát triển V tốt A nhất ở nhiệt độ N 36-37 độ N , nên người N nuôi V ong N phải V di chuyển V đàn đến V nơi N có V nhiệt độ N thích hợp A , đặc biệt A là nơi N có V nguồn N thức ăn N dồi dào A cho ong N "" . Theo V các thợ N nuôi V ong N , từ tháng N 4 đến tháng N 10 là V mùa N mưa N ở miền Nam , ong V không cho V mật V lại dễ A chết V nên họ thường đưa V đàn N ra V miền N Trung và miền N BắcHằng năm N vào mùa N này , anh Vũ thường di chuyển V ra V Bắc Giang đặt V các thùng ong N dưới vườn N hoa N vải thiều N đánh V mật N , hết V mùa N vải N anh lại đưa V đàn N ong V vào Đồng Nai cho kịp A mùa N hoa N chôm chôm N . Nhưng năm N nay , anh mang V đàn ong N ra V đánh V mật N từ hoa N cây N keo N tràm N ở Huế . Theo V tính toán N của anh Vũ , với 500 đàn ong N , nếu đánh V được mật V tốt A thì mỗi chuyến N như vậy trừ V chi phí N anh có thể thu V lãi N khoảng A 100 triệu đồng . Võ Thạnh N . ","Những người nuôi ong mật tự nhận mình là "" dân du mục "" , do cuộc sống nay đây mai đó để di chuyển đàn ong đi kiếm nơi có thời tiết và nguồn phấn hoa phù hợp .",vietnews
245,"Ngày N 27/5 , Sở N Nông nghiệp N và Phát triển V Nông thôn N tỉnh N Phú Yên công bố V nguyên nhân N gây V ra V hiện tượng N tôm hùm N nuôi V trong lồng N bè N ở trên vịnh N Xuân Đài ( huyện N Sông Cầu ) chết V hàng loạt . Tôm hùm N nuôi V trong lồng N bè N ở Phú Yên chết V hàng loạt N . Các V lần N kiểm tra V mẫu N hải sản N , cơ quan chức năng N xác định V tôm hùm N bị V nhiễm V vi khuẩn N Rickettsia like V bacteria N - còn gọi là bệnh N sữa N , khiến V tôm N chuyển V từ màu N trắng A trong sang V trắng đục N ; dịch V tiết N và gan N tôm N nhợt nhạt V rồi hoại tử V dần , gây V chết V hàng loạt . Nhiều N lồng V bè N nuôi V tôm N dày đặc A cùng thức ăn N dư thừa N và chất thải N khiến V vùng N nước N bị V ô nhiễm V , làm V giảm V oxy , tác động V đến quá trình N hô hấp V khiến V tôm N và các loại N hải sản N bị V chết V . Có V gần A 600.000 tôm hùm N bị V chết V trong đợt N vừa qua . Tôm hùm V quẫy N nước N mạnh A , chết V rất nhanh A với số lượng N lớn A , hồi N tuần N trước . Dưới N tầng N đáy N , hộ N nuôi V tôm N phát hiện V nước N sủi bọt N , bốc V mùi N hôi thối N . Nhiều V hải sản N khác A như cá N dìa V , dò V , cá bống N , tôm N , cua N , ghẹ N , hàu N ... ở tầng N đáy N chết V hàng loạt N . An Phước ","Gần 600.000 tôm hùm với trọng lượng 0,5-1 kg nuôi trong lồng bè ở Phú Yên bị chết được cơ quan chức năng xác định do bệnh sữa .",vietnews
246,"Ngày N 27/4 , Bệnh viện N Trung ương N Huế cho V biết V , có V 9 thợ N lặn V làm việc V tại Công ty N Nibelc - doanh nghiệp N cung ứng V nhân lực N thi công V đê N chắn V sóng N cảng N Sơn Dương Formosa Hà Tĩnh ( Khu N kinh tế N Vũng Áng , thị xã N Kỳ Anh , Hà Tĩnh ) đến V kiểm tra V sức khỏe N theo V yêu cầu N . Trong N đó 7 người N đi V theo V đoàn N và 2 người N đi V riêng lẻ V ( 4 người N quê N Khánh Hòa , 5 V người N quê N Hà Tĩnh ) . Nhóm V thợ N lặn V sau N đó đăng ký V khám V bệnh N các chuyên khoa N thông thường A thì 8 người N không phát hiện V các biểu hiện N bệnh lý N nguy hiểm A . Riêng N nam N thợ N lặn V 39 tuổi N ( quê N Khánh Hòa ) do triệu chứng V nôn mửa N , đau tức N ở vùng N bụng N nên đề nghị V được V xét nghiệm V thêm V các chỉ số N khác A . Theo V một nguồn N tin N , bệnh nhân N bị V nhiễm độc V đồng N có V triệu chứng N nôn mửa N , tiêu chảy N và quặn đau V ở vùng N bụng N . . . và có thể tử vong V . Cả N 9 thợ N lặn V đã rời V khỏi V Bệnh viện N Trung ương N Huế ngay trong chiều N 26/4 V và không ai nhập viện V điều trị V . Bác sĩ N bệnh viện N này khuyến cáo V nhóm N thợ N lặn V ở Formosa nên đến V bệnh viện N xét nghiệm V kim loại N nặng A để phát hiện V và điều trị V kịp thời A . Một góc N cảng N Sơn Dương . Trước N khi N tử vong V , ông Ngẩy từng lặn V biển N thi công V tại khu vực N đê N chắn V sóng N ở cảng N Sơn Dương , khu N kinh tế N Vũng Áng . Việc V thợ N lặn V tử vong V và bị V nhiễm độc V sau N khi N làm việc V ở vùng biển N Vũng Áng ( thị xã N Kỳ Anh , Hà Tĩnh ) càng làm V dấy V lên V nghi vấn N ô nhiễm V môi trường N biển N ở khu vực N này . Đó N là V chưa kể V số N thủy sản N nuôi V lồng N bè N , nuôi V ở các hồ N ven N biển N . Sau N khi N lấy V mẫu N cá N , mẫu N nước N và đất N để kiểm tra V , cộng V với phân tích V dòng N hải lưu N , ảnh N vệ tinh N , các nhà khoa học N đến V từ Viện hàn lâm N Khoa học và Công nghệ N Việt Nam loại trừ V nguyên nhân N do động đất N , tràn N dầu N ; các chuyên gia N thủy sản N của Bộ N Nông nghiệp và Phát triển nông thôn N loại trừ V nguyên nhân N cá N chết V do dịch bệnh N . Các V chuyên gia N đều cho V rằng một yếu tố N cực A độc A làm V cá N chết V . Đắc N Đức - Hoàng Táo . ","Trong 9 thợ lặn được kiểm tra sức khoẻ tại Bệnh viện Trung ương Huế ( Thừa Thiên - Huế ) , có một thợ lặn bị nhiễm độc đồng nặng .",vietnews
247,"Tại buổi N ra mắt V , PGS.TS Tăng Chí Thượng cho V biết V , trong thời gian N qua V , số lượng N cuộc N gọi V cấp cứu V của người dân N trên địa bàn N thành phố N đều tăng V lên V mỗi năm N , cho V thấy V mạng lưới N cấp cứu V của thành phố N đã và đang ngày càng phát triển V , thu hút V được V niềm N tin V của người bệnh N . PGS.TS N Tăng Chí Thượng nhấn mạnh V : “ Nhiều A người dân N có V những phản hồi N tích cực A , vui mừng V khi N bác sĩ N đã tiếp cận V nhanh A , kịp thời A sơ cấp cứu N , cứu V sống V nhiều A người bệnh N . Đó N là V điểm N đáng V mừng V . Với sự N ra mắt V của trung tâm N Cấp cứu V vệ tinh N thứ N 26 của thành phố N , đặt V tại bệnh viện N Quốc tế City N , sở N Y tế N TP. HCM hy vọng V mạng lưới N cấp cứu V trên toàn N TP sẽ ngày càng hoàn thiện V , đáp ứng V tốt A hơn A nhu cầu N về sơ cấp cứu N của người dân N … ” . P GS.TS V . BS N Trần Thị Trung Chiến , nguyên Bộ trưởng N bộ N Y tế N , Chủ tịch N Hội đồng N cố vấn N Y khoa N bệnh viện N Quốc tế City N cho V hay V , với hệ thống N xe N cứu thương V đúng A chuẩn N , hoạt động V tích cực A 24/7 V trên mọi địa bàn N cùng với đội ngũ N cấp cứu V viên lành nghề N tận tâm N , trạm N cấp cứu V vệ tinh N bệnh viện N Quốc tế City N luôn sẵn sàng A đáp ứng V nhu cầu N cấp cứu V ngoại viện N của người dân N . Theo V đó , khi N đi V vào hoạt động V , trạm N cấp cứu V vệ tinh N 115 của bệnh viện N sẽ tiếp nhận V và cấp cứu V kịp thời A cho các trường hợp N bệnh N khẩn cấp A trên địa bàn N TP. HCM , đặc biệt A là các khu vực N quận N 5 , 6 , 8 , 10 , 11 , Bình Tân , Bình Chánh , Tân Phú , các tỉnh N miền Tây và vùng N lân cận A kể cả cấp cứu V và điều trị V cho người dân N nước N bạn N Campuchia ở những khu vực N tiếp giáp V với cửa ngõ N phía N Tây của TP.Đồng thời N , quy trình N cấp cứu V của trạm N vệ tinh N 115 của bệnh viện N là V chương trình N hợp tác V về chuyên môn N và tổ chức V giữa trung tâm N cấp cứu V 115 TP. HCM và bệnh viện N Quốc tế N City . Quy trình N cấp cứu V được V thiết kế V vận hành V khoa học N , giúp V bác sĩ N và điều dưỡng V kiểm soát V chặt chẽ A thời gian N , nhanh chóng A tiếp cận V hiện trường N để đảm bảo V luật N Khám V chữa V bệnh N , quy chế V bệnh viện N của bộ N Y tế N , sở N Y tế N TP. HCM . Qua V đó , bệnh nhân N cấp cứu V theo V chương trình N này sẽ được V hưởng V đầy đủ A quyền lợi N bảo hiểm N y tế N theo V quy định N pháp luật N . ","Ngày 4/12 , PGS.TS Tăng Chí Thượng , Phó Giám đốc sở Y tế TP. HCM cho biết , TP. HCM vừa có thêm trung tâm cấp cứu vệ tinh thứ 26 , được đặt tại bệnh viện Quốc tế City ( CIH ) TP. HCM .",vietnews
248,"Với tài N nấu ăn V độc nhất V vô nhị N , tôi đã tạo V nên V những thảm họa N chưa từng có khi nỗ lực V “ than hóa N ” hoặc cho tất cả nguyên liệu N vào nồi N trong tình trạng N “ nguyên thủy N ” , không qua V sơ chế N . Bộ N sưu tập V gồm V có V : Đậu Ngọc Trinh lướt V bùn N , ngô N luộc V bóng N đêm N , tôi thấy V cua V vàng N trên mướp N xanh A , rau N luộc V cột N đình N và hàng chục cái tên N kêu V chan chát N khác A . Nhờ N phát hiện V chấn động V về khả năng N sử dụng V ngôn từ N của vợ N mà tôi đã nghĩ V ra V một chiến lược N kinh doanh V mới A , chỉ nhắm V vào cái tên N và không làm V gì khác A . Nói V có sách A , mách N có V báo N : Mới đây , nhiều A shop N online V đồng loạt chào hàng V một loại N nhựa N cây N "" bổ dưỡng N , nở V gấp V 10 lần N yến V thông thường A ” với giá cả triệu đồng một lạng N . Hét N giá N cao A , quảng cáo V ngọt ngào N , cộng V thêm V tên N gọi V “ tuyết N yến N ” đầy A thi vị N , gợi V nhớ V đến bữa N tiệc N vua N ban N nhưng đa số người N bán V không biết V hình dạng N thật của cây N . Bên cạnh N đó , một loại N nhựa N hoa đào A , xuất xứ N Vân Nam , Quý Châu ( Trung Quốc ) cũng được V nhiều A người chào hàng V với tên N gọi V “ nước mắt N đào tiên V ” , chiết V ra V từ thân N cây N đào V có V màu N như hổ phách N , pha lê N , được V cho V là chứa V nhiều A collagen N nên giúp V làm V đẹp A da N tuy nhiên giá N mỗi nơi N mỗi khác A , chênh lệch V nhau N hàng triệu đồng / kg . Dân tình N ham V của lạ A , đánh giá V chất lượng N qua V giá cả N ùn ùn A kéo V tới V mua V mà không biết V một sự thật N đắng A lòng N . BS N Trương Thị Ngọc Lan , Viện phó V viện N Y dược học V dân tộc N trên Vnexpress , tại Trung Quốc nhựa N cây N tuyết N yến V thực chất N là V mủ N trôm V được V nhập V từ Lào , Việt Nam . Mà V mủ N trôm V tại Việt Nam thì đang được V bày V bán V với giá N khoảng A 250 - 300 ngàn / kg , tức chỉ 25 - 30 ngàn / lạng N . Trong khi N đó nhựa N hoa đào V được V người Trung Quốc sử dụng V làm V món N ăn V , song phải V đúng A liều lượng N mới có V hiệu quả N . Hiện N chưa có V một công trình N nghiên cứu V nào cho V rằng hai loại N này là V vị thuốc N trong đông y N . Khi V kinh doanh V đừng bao giờ coi nhẹ V tên N sản phẩm N . Như V mủ N trôm N sau N khi N đi V một vòng N và trở về V với cái tên N mỹ miều N đã khiến V người N giàu A dốc N hầu bao mua một cân N với số N tiền N mà đáng V ra V họ phải V mua V được hàng N yến N ! Trương Chi . ","Theo chia sẻ của TS . BS Trương Thị Ngọc Lan , Viện phó viện Y dược học dân tộc , tại Trung Quốc nhựa cây tuyết yến ( đang được rao bán trên mạng với giá cả triệu đồng / lạng ) thực chất là mủ trôm được nhập từ Lào , Việt Nam .",vietnews
249,"Các chuyên gia N thu thập V mẫu vật N rắn lục V đuôi N đỏ A do người N dân N ở xã N Đức Chánh , huyện N Mộ Đức , phát hiện V trong vườn N nhà N . Ảnh V : Trí Tín . Ngày N 5/12 , đoàn N công tác V đã về V huyện N Mộ Đức , địa phương N có V hàng chục người dân N bị V rắn N cắn V phải V cấp cứu V trong hai tháng N qua V . Các N chuyên gia N lần lượt ghi nhận V thông tin N từ những nạn nhân N bị V rắn N cắn V và thu thập V mẫu vật N để phân tích V nguyên nhân N loài V rắn lục N đuôi N đỏ A xuất hiện V nhiều A bất thường N ở khu N dân cư N . Ông N Nguyễn Văn Đoàn , Chuyên gia N Tổng cục V lâm nghiệp N cho V biết V , đoàn N về miền N Trung lần N này là V để xác định V sinh cảnh N sống V của loài N , nguyên nhân N khiến V rắn N cắn V , thời điểm N chúng gây V ảnh hưởng V cuộc sống N người N dân N . . . Sau N chuyến N công tác V , các chuyên gia N tập trung V phân tích V , nghiên cứu V để đề xuất V giải pháp N phù hợp V cho người N dân N ứng phó V với loài N rắn lục N đuôi N đỏ A . "" Chúng tôi kết hợp V hướng dẫn V địa phương N , người dân N cách V phòng tránh V , ngăn chặn V và sơ cứu V ban đầu N khi N bị V rắn N cắn V đề phòng V nguy hiểm A tính mạng N "" , ông Đoàn nói V . Liên quan V vấn đề N này , Tiến sĩ N Nguyễn Quảng Trường , Viện N Sinh thái N và Tài nguyên Sinh vật V , cho V hay muốn V biết V rõ A nguyên nhân N vì sao rắn lục V đuôi N đỏ A xuất hiện V bất thường A trong thời gian N gần A đây cần V phải V có V nghiên cứu V cụ thể A . TS N Trường N cho V rằng , nọc độc N của rắn lục N không tác động V lên V hệ N thần kinh N mà thường tác động V lên V hệ N tuần hoàn N , gây V rối loạn V đông A máu N , sưng N nề V hoặc hoại tử V . Khi N bị V rắn N cắn V , cần V hạn chế V vận động V để tránh V làm V tăng V nhanh A quá trình N tác động V của nọc N đến các phần N khác A của cơ thể N , không nên V rạch V vết thương N vì có thể làm V mất máu N cấp V . Vị N chuyên gia N này cũng khuyến cáo V , không được V ga N - rô N bằng dây N cao su N vì dễ A gây V hoại tử V do thiếu máu N cung cấp V đến phần N cơ thể N dưới ga N - rô N . Không đắp V các loại N thuốc N không rõ A nguồn gốc N , cần V đến V ngay cơ sở N y tế N gần A nhất A để được V điều trị V . Quảng Ngãi là địa phương N có V rắn lục N đuôi N đỏ A xuất hiện V nhiều A bất thường N , khoảng N 150 người N bị V cắn V nhập viện V cấp cứu V thời gian N qua V . Trí Tín N . ",Các chuyên gia Tổng Cục lâm nghiệp phối hợp với Viện Sinh thái và Tài nguyên sinh vật về Quảng Ngãi tìm nguyên nhân rắn lục đuôi đỏ xuất hiện nhiều .,vietnews
250,"Khi N có V 1 gen N apoE4 N , người ta sẽ có V nguy cơ N mắc V bệnh N Alzheimer nhiều A gấp A hơn A 2 lần N và nếu mang V 2 gen N này thì nguy cơ N tăng V lên V 12 lần N so V với một loại N gen N phổ biến A hơn A là V apoE N 3 . Gen apoE4 N tạo V ra V một loại N protein N cùng A tên N . Protein N của gen N apoE4 N chỉ khác A protein N của gen N apoE3 N chỉ một điểm N , nhưng sự N khác biệt A này đủ A thay đổi V toàn bộ kết cấu N chính và chức năng N của protein N . Các nhà N khoa N vẫn chưa rõ A tại sao protein V gen N apoE4 V lại gây V hại V nhiều A đến não bộ N so V với protein N của gen N apoE N 3 . Theo V đó , trong nơ N - ron N thần kinh N của người N , protein N của gen N apoE4 V không thể hoạt động V bình thường A và bị V chia V tách V thành V các mảnh N vỡ V gây V ra V bệnh N trong tế bào N . Các nhà khoa học N đã áp dụng V biện pháp N "" sửa V cấu trúc N "" gen N để xóa V đi V các dấu hiệu N của bệnh N Alzheimer và đang phối hợp V với các hãng N dược N để sản xuất V thuốc N để thử nghiệm V trên người N . Theo V ông Yadong Huang , nhà N nghiên cứu V kỳ cựu N và là V giám đốc N một trung tâm N tại Viện Gladston , trong vòng N 1 thập kỷ V qua nhiều A nhà khoa học N trên thế giới N đã cố gắng V phát triển V thuốc N điều trị V Alzheimer nhưng hầu hết đều thất vọng V . Nhiều V loại N thuốc N thành công V trên chuột N nhưng lại thất bại V khi N thử nghiệm V lâm sàng N . Một V trong những lý do N là V việc N gây V ra V bệnh N Alzheimer cho chuột N không bắt chước V được V bệnh N này ở người N . Rút V kinh nghiệm N từ đồng nghiệp N , ông Huang và đồng nghiệp N đã sử dụng V tế bào N thần kinh N của người N để mô phỏng V bệnh N Alzheimer và kiểm nghiệm V thuốc N . Nhờ V công nghệ N tế bào N gốc N , nhóm N nghiên cứu V của ông đã lần V đầu tiên A kiểm tra V được tác động V của gen N apoE4 N đối với tế bào N não N của người N . Họ V tạo V ra V nơ N - ron N thần kinh N từ tế bào N da N của bệnh nhân N Alzheimer có V hai gen N apoE4 N hiến V tặng V , và từ những người khỏe mạnh V có V hai gen N apoE V 3 . Alzheimer là V căn bệnh N gây V tử vong V sớm A hàng đầu N tại Anh và đứng V hàng N thứ N hai tại Mỹ , Úc . Vào V tháng N trước N , các nhà khoa học Anh N tiên đoán V rằng trong vài thập kỷ N tới V , sẽ có V cách N để người N mắc V Alzheimer sống V chung A với bệnh N . Nghiên cứu V ra V tiềm năng V về việc N sản xuất V thuốc N mới chống V lại V bệnh N Alzheimer nhưng họ sẽ phải V rất cẩn trọng A vì cho đến nay họ mới thử V phương pháp N này với các tế bào N trong phòng thí nghiệm N . ","Sử dụng tế bào não người , các nhà khoa học ở Viện Gladstone ( Mỹ ) đã xác định được loại protein liên hệ với gen apoE4 - nhân tố di truyền chính đối với bệnh Alzheimer ( bệnh mất trí nhớ ) và tìm ra giải pháp có thể đối phó với nó .",vietnews
